posting_day,entry_votes_bucket,user_days
False,0,8
False,1,14
False,2,9
False,3,1
False,4,5
False,5,4
False,6,3
False,7,1
False,12,4
True,0,26
True,1,10
True,2,8
True,3,4
True,4,6
True,5,4
True,6,26
True,7,20
True,8,6
True,9,5
True,10,4
True,11,3
True,12,8
